fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,TSNE1,TSNE2
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,-16.585835,34.815796
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,-8.1821785,-8.324504
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,30.779808,-12.874969
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,3.544294,-41.972744
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,11.573129,29.651854
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,28.92082,-9.231224
David Abbott,"6' 0""",265 lbs.,,Switch,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,1.8723732,-20.422722
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,-2.542555,-14.694172
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,13.960071,6.34226
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,40.89162,17.51516
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,43.385338,-17.204775
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3,16.509186,6.7376137
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,5.4944715,-41.608166
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,40.91211,-36.37015
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,21.2442,-3.6127424
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,52.41192,-2.6496384
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,31.840519,-10.90029
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,33.75358,-14.741652
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,-4.0683975,-47.22916
Mike Aina,"5' 9""",155 lbs.,,Orthodox,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,43.9094,-19.847025
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,5.532684,-16.89837
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,-21.694498,26.892387
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,11.372748,5.1927905
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,-11.5983,15.809009
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,45.056572,-3.9303262
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,6.1454525,-44.901268
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,3.5226114,41.412586
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,2.8070004,25.988844
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,-61.090153,-1.5877292
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,16.797531,36.259293
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,43.320145,-4.104203
Israel Albuquerque,,185 lbs.,,Orthodox,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,2.1600986,-51.899544
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,-22.932232,8.902373
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,-6.1209226,0.9560358
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,3.0726326,42.724377
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,24.209602,-11.509965
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,46.968082,4.5059934
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,3.76,0.41,4.55,0.61,0.8,0.4,0.57,0.0,24.375187,-5.952494
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,17.37703,-1.5963451
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,-40.607983,32.679268
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,-1.816999,35.614635
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,4.968073,10.666985
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,-22.725504,9.618938
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,-9.313612,-21.524937
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,35.961773,-31.22023
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,46.96671,11.666946
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,-27.764826,-11.221903
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,-9.613559,15.566913
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,-14.297191,-1.2752959
George Allen,"6' 2""",205 lbs.,,Open Stance,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,0.07395178,-47.9276
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,-22.88181,-18.380566
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,5.839947,0.023346078
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,-41.7799,26.950474
Magno Almeida,"6' 0""",155 lbs.,,,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,-60.701263,-3.6322534
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,42.399178,7.415266
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,-0.72149384,-21.256182
Mauricio Alonso,"6' 2""",170 lbs.,,,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,29.38047,15.875249
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,43.907764,-17.404776
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,-1.2726077,39.301678
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,-32.537804,29.609707
Mike Altman,"5' 10""",185 lbs.,,Orthodox,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,-4.226518,-40.77647
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,2.6601274,-48.119915
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,14.760047,-12.157091
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,12.112409,-2.2586005
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,11.690124,33.06114
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,-8.149223,-48.40201
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,23.617638,1.7514397
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,-4.8041344,-26.362797
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,-7.5622087,15.071484
Andre Amado,"6' 0""",154 lbs.,,Orthodox,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,44.391457,-23.006626
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,72.40667,-9.082464
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,-30.850733,43.109283
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,16.516008,-25.453606
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,-23.144667,18.370113
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,44.780605,-16.662949
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,1.8347062,-49.935436
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,-40.299854,18.98331
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,43.058453,20.502485
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,-0.5077862,16.616293
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,-10.77643,-32.13399
Derek Anderson,"6' 0""",155 lbs.,,,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,17.501244,8.816149
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,-26.498121,42.230286
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,-6.7935014,-20.89254
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,-6.685766,22.672844
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,-9.236983,-37.271763
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,28.546524,34.34973
Reese Andy,"6' 0""",205 lbs.,,Orthodox,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,7.3202605,-12.493533
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,-27.664646,22.863459
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,-25.519335,38.473938
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,23.855673,33.846004
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0.0,-14.703323,-2.390081
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,0.5761655,-53.136482
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,32.189877,10.525171
Angelo Antonio,,205 lbs.,,Orthodox,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,51.95648,-27.650826
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,43.31525,7.6537795
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,-37.537754,40.510994
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,-3.349835,-8.984426
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,-0.78156453,17.462929
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,66.1855,-12.34506
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,60.819805,1.4877932
Erik Apple,"6' 0""",170 lbs.,,Orthodox,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,-63.971123,-0.48365575
Romie Aram,"5' 10""",170 lbs.,,Orthodox,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,-25.513775,21.979763
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,-52.716938,5.3785796
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,-9.471227,-19.518423
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,-9.171266,-10.805161
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,15.666624,13.229762
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,16.61003,34.459217
Art Arciniega,"5' 8""",145 lbs.,,,1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0,-10.6468315,-31.905718
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,12.990782,6.5992184
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,5.654868,-10.612616
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,-38.84747,8.464999
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0,-40.195995,15.453788
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,49.440334,-0.78507847
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,-55.026955,4.4693856
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3,-16.729912,-2.7478487
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0,-5.158486,-51.742146
Veta Arteaga,"5' 7""",125 lbs.,,,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0,7.219274,-29.692064
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,56.36323,4.151927
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,-23.918198,47.014812
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,3.37,0.55,2.65,0.56,2.75,0.28,0.64,0.0,-19.505829,29.375713
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,-0.35887966,44.847622
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,10.232137,-4.111439
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,-0.26770827,44.56848
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8,24.508047,36.61399
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,1.27,0.43,3.2,0.36,2.0,0.5,0.66,1.0,-24.016317,12.778437
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,-27.728651,9.349121
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,-0.5216584,12.277848
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0,0.55076003,-21.827042
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,-18.252718,-17.48306
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,6.669311,-20.893724
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,-18.019152,22.048271
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,-34.140564,-7.2330823
David Avellan,"5' 9""",185 lbs.,,Orthodox,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0,62.780327,-9.511043
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,-19.816788,14.112634
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0,6.3564515,6.532267
Chris Avila,"5' 10""",145 lbs.,,Orthodox,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,23.741875,-27.817219
Saad Awad,"5' 11""",155 lbs.,,,2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5,-19.320847,-27.803036
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0,-17.091267,-1.6231629
Javy Ayala,"6' 1""",265 lbs.,,,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0,42.28715,-34.527737
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,19.9136,2.0475163
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3,-7.103606,-10.815101
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0,43.937904,19.467014
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0,-28.375635,-14.205375
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,-10.920126,27.835346
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,-42.955032,-0.19473806
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,3.74,0.71,4.9,0.32,1.75,0.12,1.0,0.0,12.912041,36.78902
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,28.364677,22.759462
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,-16.954935,22.74643
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,1.098582,-3.7852736
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,-27.432577,31.832628
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0,31.141134,-15.115938
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0,42.975376,15.768868
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,-1.403578,3.615973
Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0,44.255615,18.989004
Stephen Banaszak,"6' 0""",145 lbs.,,,4.2,0.47,1.15,0.66,0.0,0.0,1.0,1.9,-2.5912569,-2.3326757
Jordan Bailey,"5' 9""",145 lbs.,,,1.74,0.4,0.29,0.0,4.35,1.0,0.0,4.3,-55.28879,9.443385
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9,-9.795587,-20.865284
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,-6.8225274,-8.75492
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,6.2139206,-19.115526
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0,43.40534,-34.107033
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,-1.3662744,39.379837
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,-11.274604,-5.8039436
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,23.161148,28.334084
Junior Barata,"5' 10""",170 lbs.,,Orthodox,4.03,0.33,8.46,0.34,0.0,0.0,0.0,0.0,55.712517,-7.9035077
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,-2.8892076,3.2901535
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,41.412422,8.586161
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,12.445159,27.568306
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,28.166649,1.016632
Nick Barnes,"5' 11""",170 lbs.,,,2.86,0.29,8.93,0.51,5.36,1.0,1.0,5.4,-3.7047875,48.887215
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,26.23571,31.676796
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,27.822998,2.827328
David Baron,"5' 6""",155 lbs.,,Switch,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7,-12.046118,-35.258064
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,8.421595,-8.097547
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,-9.476514,4.2970157
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0,-28.024612,-19.021276
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0,17.489983,28.132153
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0,29.240103,1.6377068
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0,4.808224,-23.461508
Ricardo Barros,"6' 1""",205 lbs.,,,0.0,0.0,8.22,0.31,0.0,0.0,1.0,0.0,62.46203,-18.575415
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,-10.03452,22.7519
Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,-23.635294,41.195694
Stephen Bass,"5' 9""",145 lbs.,,Orthodox,4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0,48.23745,2.520907
Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,17.984907,-27.370028
Shayna Baszler,"5' 7""",135 lbs.,,Orthodox,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,48.353428,-19.444016
Batgerel Danaa,"5' 7""",135 lbs.,"70""",Orthodox,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0,31.225681,15.013058
Michel Batista,"6' 3""",260 lbs.,,Orthodox,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0,-39.477528,43.783634
