fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,TSNE1,TSNE2
Nick Roehrick,"6' 2""",205 lbs.,,Orthodox,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0,48.114872,-22.60565
Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,3.17,0.44,3.2,0.46,0.0,0.0,0.58,0.0,15.884583,-25.505869
Max Rohskopf,"6' 1""",155 lbs.,"71""",Orthodox,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5,-5.013733,45.08466
Brian Rogers,"5' 11""",185 lbs.,,,4.79,0.38,5.76,0.58,1.22,0.5,1.0,0.6,43.358532,0.7532214
Marcos Rogerio de Lima,"6' 1""",253 lbs.,"75""",Orthodox,3.78,0.54,2.53,0.54,0.71,0.6,0.43,0.7,13.263606,15.151262
Pete Rogers Jr.,"6' 0""",145 lbs.,,,0.66,0.15,1.71,0.65,0.0,0.0,0.0,0.0,-10.311412,-48.274204
Marcelo Rojo,"5' 8""",145 lbs.,"71""",Orthodox,5.1,0.36,7.3,0.51,1.03,0.5,1.0,0.0,52.560696,-2.8265162
Shane Roller,"5' 10""",155 lbs.,"72""",Orthodox,2.04,0.34,2.65,0.6,2.46,0.33,0.42,1.9,-46.363052,12.429148
Tim Roman,"6' 1""",170 lbs.,,,0.6,0.4,2.4,0.4,1.0,1.0,0.16,0.0,-16.682037,-20.684124
Jared Rollins,"5' 9""",170 lbs.,,Orthodox,3.33,0.57,2.41,0.39,2.5,0.5,0.5,1.2,-13.044647,29.322191
Alexandr Romanov,"6' 2""",262 lbs.,"75""",Southpaw,4.31,0.39,1.76,0.43,6.35,0.66,0.0,3.2,-28.566477,46.913612
Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3,-41.090588,-4.70096
Yoel Romero,"6' 0""",185 lbs.,"73""",Southpaw,3.44,0.49,3.05,0.6,1.57,0.3,0.78,0.0,2.27853,16.369198
Anthony Romero,"5' 11""",155 lbs.,"70""",Orthodox,5.87,0.52,4.0,0.65,2.0,0.22,1.0,0.0,25.122269,32.197704
Mara Romero Borella,"5' 6""",125 lbs.,"69""",Orthodox,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2,-22.957073,4.7484903
Jesse Ronson,"5' 10""",170 lbs.,"70""",Southpaw,3.54,0.49,2.99,0.59,0.63,0.4,0.61,0.6,11.510803,13.245979
George Roop,"6' 1""",135 lbs.,"72""",Orthodox,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1,2.2146707,10.1194515
Aaron Rosa,"6' 4""",205 lbs.,"77""",Orthodox,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,30.975159,-0.78351504
Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,3.11,0.37,3.78,0.48,1.76,0.32,0.4,1.0,-8.286103,15.267789
Karol Rosa,"5' 5""",135 lbs.,"67""",Orthodox,7.73,0.52,5.51,0.48,2.0,0.6,0.9,0.0,51.08351,13.056488
Hilarie Rose,"5' 3""",115 lbs.,"63""",Orthodox,2.33,0.33,6.13,0.44,0.0,0.0,1.0,0.0,42.392696,-21.856117
Jacob Rosales,"5' 11""",155 lbs.,,Orthodox,6.76,0.49,12.0,0.41,0.0,0.0,0.5,1.3,62.207836,-1.303633
Jake Rosholt,"6' 1""",185 lbs.,,Orthodox,2.68,0.53,2.33,0.49,6.51,0.68,0.0,1.8,-33.91568,46.812263
Jared Rosholt,"6' 2""",265 lbs.,"75""",Orthodox,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,-26.64171,-3.0590515
Zach Rosol,,243 lbs.,,,0.0,0.0,14.21,0.25,0.0,0.0,0.0,0.0,68.887856,-11.985542
Nick Rossborough,"6' 5""",205 lbs.,,,2.8,0.35,4.33,0.35,0.0,0.0,1.0,0.0,23.43152,-24.507559
Kristian Rothaermel,"6' 0""",205 lbs.,,Open Stance,0.75,0.5,2.49,0.41,0.0,0.0,0.0,0.0,-4.725437,-46.506042
Rick Roufus,"6' 0""",207 lbs.,,Southpaw,0.53,0.33,1.06,0.33,0.0,0.0,0.5,0.0,-15.246174,-47.140724
Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,3.55,0.41,4.57,0.46,0.63,0.33,0.69,0.3,25.039404,-6.675546
Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,3.06,0.38,3.63,0.49,0.0,0.0,0.5,0.2,17.846628,-26.098902
Ronda Rousey,"5' 7""",135 lbs.,"66""",Orthodox,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8,-57.66458,12.680071
Ray Routh,"5' 8""",185 lbs.,,Orthodox,0.54,0.21,3.22,0.28,2.69,0.33,0.0,0.0,-31.15401,3.1825356
Roberta Rovel,"5' 8""",145 lbs.,,,0.87,0.46,3.0,0.26,0.0,0.0,1.0,0.0,-1.1788255,-48.192123
Philip Rowe,"6' 3""",170 lbs.,"80""",Orthodox,4.99,0.6,5.34,0.51,1.19,0.33,0.25,0.0,39.783566,0.07601642
Kain Royer,,185 lbs.,,,0.0,0.0,1.63,0.14,0.0,0.0,0.0,4.1,-57.296803,-7.8372836
Brandon Royval,"5' 9""",125 lbs.,"68""",Southpaw,3.77,0.46,2.88,0.47,0.79,1.0,0.53,2.4,1.1027863,0.5893128
Jairzinho Rozenstruik,"6' 4""",242 lbs.,"78""",Orthodox,3.14,0.48,3.48,0.39,0.0,0.0,0.8,0.0,17.350475,-25.172749
Rodrigo Ruas,"5' 10""",185 lbs.,,Orthodox,1.28,0.35,7.0,0.41,0.0,0.0,0.0,0.0,50.384533,-27.409262
Murilo Rua,"5' 11""",185 lbs.,,Orthodox,2.48,0.45,1.85,0.53,1.97,0.45,0.37,1.2,-33.782898,10.626272
Rodolfo Rubio Perez,"5' 5""",145 lbs.,,Orthodox,1.13,0.36,1.0,0.62,2.0,0.33,0.33,0.0,-31.35823,-14.535082
Mauricio Rua,"6' 1""",205 lbs.,"76""",Orthodox,3.57,0.5,2.71,0.54,2.12,0.48,0.47,0.8,-3.6193507,20.992546
Gabe Ruediger,"5' 10""",155 lbs.,,Orthodox,1.7,0.31,5.16,0.41,2.04,0.11,0.28,0.0,10.899568,-21.016088
Eddie Ruiz,"5' 7""",155 lbs.,,Orthodox,0.2,0.25,1.4,0.47,2.0,0.12,0.0,0.0,-28.841248,-15.236026
Anthony Ruiz,"6' 2""",205 lbs.,,Orthodox,2.56,0.64,1.67,0.28,1.43,0.31,0.21,0.0,-19.675117,-3.2081053
Mike Russow,"6' 1""",255 lbs.,"73""",Orthodox,1.55,0.47,2.9,0.59,4.66,0.43,0.0,0.7,-39.77734,39.938324
Bas Rutten,"6' 1""",205 lbs.,,Orthodox,5.59,0.61,2.06,0.79,0.0,0.0,0.0,0.0,29.33281,15.810008
Yusup Saadulaev,"5' 6""",135 lbs.,,,0.57,0.45,0.96,0.66,5.73,0.6,0.0,1.0,-41.771294,35.61133
Danny Sabatello,"5' 10""",135 lbs.,"71""",Orthodox,2.07,0.57,0.2,0.25,3.0,0.75,1.0,1.0,-46.858784,27.057241
Amir Sadollah,"5' 10""",170 lbs.,"75""",Orthodox,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3,31.537521,10.542541
Saparbeg Safarov,"6' 1""",185 lbs.,"78""",Orthodox,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0.0,-1.4189019,27.20093
Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,5.2665224,19.811674
Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0,-13.958381,23.348904
Tarec Saffiedine,"5' 10""",170 lbs.,"70""",Switch,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1,17.195015,10.381591
Lukasz Sajewski,"5' 8""",155 lbs.,"71""",Orthodox,2.06,0.35,3.88,0.57,1.01,0.25,0.66,0.0,6.269193,-16.388485
Ovince Saint Preux,"6' 3""",205 lbs.,"80""",Southpaw,2.68,0.46,3.03,0.45,1.19,0.4,0.66,0.6,-3.872774,1.4833198
Paul Ruiz,"5' 6""",135 lbs.,,,1.4,0.33,1.4,0.75,0.0,0.0,1.0,20.9,-66.531845,3.654741
Yukio Sakaguchi,"5' 9""",185 lbs.,,Orthodox,0.3,0.25,2.4,0.5,4.5,1.0,0.0,9.0,-59.516056,7.9291267
Wataru Sakata,"5' 9""",195 lbs.,,Southpaw,1.11,0.61,2.08,0.31,0.0,0.0,0.0,0.0,-6.5781636,-44.974808
Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,5.32,0.48,4.02,0.5,0.15,0.5,0.66,0.0,36.542706,11.218946
Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,7.09,0.58,4.57,0.53,0.0,0.0,1.0,0.0,44.894028,14.6393385
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,3.96,0.47,2.8,0.59,2.18,0.78,0.62,0.0,-0.5244396,23.273483
Ryuta Sakurai,"5' 7""",183 lbs.,,Orthodox,1.8,0.48,3.44,0.58,0.52,1.0,0.36,1.6,-5.86106,-22.58174
Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,1.26,0.41,2.03,0.51,1.26,0.31,0.48,1.7,-46.65738,-7.030283
Justin Salas,"5' 8""",155 lbs.,"70""",Southpaw,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,-5.3541355,25.316841
Hayato Sakurai,"5' 7""",168 lbs.,,Orthodox,2.45,0.49,1.94,0.59,1.87,0.69,0.56,0.3,-24.202265,-0.7158336
Luis Saldana,"5' 11""",145 lbs.,"73""",Orthodox,7.17,0.59,1.21,0.78,0.0,0.0,0.0,0.0,43.240383,20.537188
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5,-45.84918,-16.877033
John Salgado,"5' 10""",170 lbs.,,,0.99,0.5,1.86,0.4,0.0,0.0,0.5,0.0,-10.235704,-44.752136
Roman Salazar,"5' 7""",135 lbs.,,Orthodox,1.95,0.39,2.89,0.57,1.77,0.18,0.5,0.0,-18.79504,6.8900886
Brandon Saling,"5' 10""",170 lbs.,,,2.88,0.4,6.08,0.2,0.0,0.0,0.57,0.0,43.61261,-19.348526
Muslim Salikhov,"5' 11""",170 lbs.,"70""",Orthodox,2.85,0.46,2.29,0.67,0.87,0.3,0.8,0.0,-9.530875,-5.5976553
Sean Salmon,"5' 10""",185 lbs.,,Southpaw,1.49,0.33,2.03,0.65,4.06,0.5,0.0,0.0,-39.071022,31.128614
Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,4.13,0.37,7.75,0.59,0.0,0.0,1.0,0.0,53.827988,-7.252217
Johnny Sampaio,"5' 8""",170 lbs.,,Orthodox,1.32,0.4,2.64,0.5,9.89,0.5,0.0,9.9,-61.070778,10.608566
John Salter,"6' 1""",185 lbs.,"74""",Southpaw,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5,-35.08626,18.65155
Josh Samman,"6' 3""",185 lbs.,"79""",Orthodox,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4,-7.9934754,-10.23858
Josh Sampo,"5' 4""",125 lbs.,"64""",Orthodox,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,-42.792133,-8.076558
Eddie Sanchez,"6' 2""",230 lbs.,"74""",Orthodox,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0,4.8140173,13.990651
Bobby Sanchez,"5' 7""",155 lbs.,,Orthodox,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-20.37602,-50.584827
Donald Sanchez,"5' 10""",145 lbs.,,,0.58,0.5,1.16,0.55,0.0,0.0,0.5,0.0,-14.83628,-46.705612
Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,-5.547113,1.7066175
Joby Sanchez,"5' 6""",135 lbs.,"68""",Orthodox,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4,3.658081,6.842879
Emmanuel Sanchez,"5' 9""",145 lbs.,"71""",,4.45,0.35,4.17,0.55,0.25,0.06,0.16,0.5,32.686737,-1.9615289
Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,0.0,0.0,6.45,0.35,0.0,0.0,0.5,0.0,49.37529,-33.761448
Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,4.48,0.42,5.05,0.51,1.92,0.31,1.0,0.0,15.7112465,35.39719
Robert Sanchez,"5' 6""",125 lbs.,"66""",Orthodox,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7,-40.816734,29.343847
Jerrod Sanders,"5' 8""",135 lbs.,"72""",Orthodox,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,-43.382484,5.775315
Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,6.85,0.48,3.89,0.59,1.07,0.5,0.3,0.5,39.99384,18.255524
Luke Sanders,"5' 6""",135 lbs.,"67""",Southpaw,6.21,0.51,4.11,0.53,0.31,0.2,0.66,0.3,41.974472,14.771794
Joseph Sandoval,"5' 7""",135 lbs.,,Southpaw,1.82,0.42,12.12,0.6,0.0,0.0,0.0,0.0,66.64926,-11.524591
Hector Sandoval,"5' 2""",125 lbs.,"64""",Orthodox,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4,-21.279226,35.630875
Chris Sanford,"5' 11""",185 lbs.,,Orthodox,0.23,0.5,3.22,0.17,0.0,0.0,0.0,3.5,-57.456707,-5.2251587
Jonathan Santa Maria,"5' 9""",125 lbs.,,,3.6,0.51,2.53,0.74,0.0,0.0,0.8,0.0,15.576073,5.967052
Roldan Sangcha'an,"5' 4""",125 lbs.,,Orthodox,2.71,0.46,2.15,0.51,1.94,0.6,0.68,0.0,-25.024885,3.7854495
Duda Santana,"5' 7""",145 lbs.,"73""",Orthodox,6.01,0.39,2.72,0.73,6.44,0.6,0.0,0.0,-28.359245,45.18339
Will Santiago,"5' 7""",185 lbs.,,Orthodox,1.47,0.39,5.53,0.56,1.0,0.5,1.0,0.0,36.910473,-26.918653
Mike Santiago,"5' 10""",145 lbs.,"69""",Orthodox,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1,-11.64737,32.35965
Shaheen Santana,"6' 1""",155 lbs.,"75""",Orthodox,0.82,0.42,1.65,0.4,0.0,0.0,0.0,2.8,-55.191708,-9.148777
Jorge Santiago,"6' 1""",170 lbs.,"75""",Orthodox,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8,-10.632651,-18.767597
Richie Santiago,"5' 7""",135 lbs.,"67""",Southpaw,3.87,0.49,4.87,0.42,0.0,0.0,0.25,0.0,34.204742,-12.785602
Art Santore,"6' 2""",185 lbs.,,,1.4,0.12,7.31,0.52,0.0,0.0,1.0,0.0,51.773643,-25.757845
Luis Santos,"6' 1""",170 lbs.,,Southpaw,4.4,0.57,4.0,0.64,0.0,0.0,0.0,0.0,30.236994,6.7501564
Iliarde Santos,"5' 5""",125 lbs.,"67""",Orthodox,3.0,0.3,6.1,0.57,1.66,0.23,0.83,0.0,19.120422,-15.219991
Thiago Santos,"6' 2""",205 lbs.,"76""",Orthodox,4.27,0.48,2.33,0.55,0.7,0.38,0.66,0.1,17.363,15.660923
Evangelista Santos,"5' 10""",170 lbs.,"76""",Orthodox,3.94,0.36,6.01,0.49,0.78,1.0,0.5,0.4,42.338623,-4.942979
Leonardo Santos,"6' 0""",155 lbs.,"75""",Orthodox,2.65,0.44,2.77,0.58,1.07,0.29,0.89,0.3,-7.254256,-6.248867
Bruno Santos,"5' 9""",185 lbs.,,Orthodox,1.18,0.46,2.27,0.56,3.0,0.37,0.66,0.3,-36.368202,21.278923
Andre Santos,"6' 0""",170 lbs.,,,2.77,0.34,4.17,0.41,2.5,0.29,0.75,0.0,-2.6236935,35.070175
